mp_id_core,formula_core,band_gap_eV_core,cbm_vs_vacuum_eV_core,vbm_vs_vacuum_eV_core,mp_id_shell,formula_shell,band_gap_eV_shell,cbm_vs_vacuum_eV_shell,vbm_vs_vacuum_eV_shell,dEc_eV,dEv_eV,is_type1_shell_confines_core,confinement_score_eV
mp-23487,KIO3,2.7868000000000004,-1.0594679202226227,-3.846267920222623,mp-2762888,KIO3,3.5428000000000006,-0.6814679202226226,-4.224267920222623,0.3780000000000001,0.37799999999999967,True,0.7559999999999998
mp-22932,KInBr4,2.8234,-0.7839685596912707,-3.6073685596912703,mp-28680,KGaBr4,3.5771,-0.41324329698708,-3.990343296987081,0.37072526270419065,0.38297473729581055,True,0.7537000000000011
mp-556379,BaVOF4,2.7943,-1.3731324379547472,-4.167432437954747,mp-1193015,CsVOF4,3.5464,-0.9503123355286872,-4.496712335528688,0.42282010242605994,0.32927989757394105,True,0.752100000000001
mp-1113736,Rb2LiCoF6,2.8411,-0.9195316239366926,-3.7606316239366926,mp-849283,Li2FeF4,3.5932,-0.5899827881516673,-4.183182788151667,0.32954883578502536,0.4225511642149744,True,0.7520999999999998
mp-556379,BaVOF4,2.7943,-1.3731324379547472,-4.167432437954747,mp-30991,Ba(IO3)2,3.5436,-1.0239635424307312,-4.567563542430731,0.349168895524016,0.4001311044759843,True,0.7493000000000003
mp-989583,Rb2LiInCl6,2.8293,-0.6118174291924552,-3.441117429192455,mp-1112759,Cs2KInCl6,3.5784317090266127,-0.1866663657377101,-3.765098074764323,0.42515106345474507,0.3239806455718677,True,0.7491317090266127
mp-1112624,Cs2LiGdCl6,2.7824,-0.5424523710965212,-3.324852371096521,mp-1112789,Cs2KBiBr6,3.5292000000000003,-0.1594527170192308,-3.688652717019231,0.3829996540772904,0.36380034592270993,True,0.7468000000000004
mp-582024,Cs3Cu2Cl5,2.7832,-0.4915390483063984,-3.2747390483063983,mp-1112789,Cs2KBiBr6,3.5292000000000003,-0.1594527170192308,-3.688652717019231,0.3320863312871676,0.41391366871283264,True,0.7460000000000002
mp-676130,TlSnF3,2.8207,-1.4755684881690676,-4.296268488169067,mp-29866,SnCl4,3.565,-1.0896087518943338,-4.654608751894334,0.3859597362747338,0.3583402637252666,True,0.7443000000000004
mp-1112942,Cs2PrAgI6,2.785,-0.4623892124626525,-3.247389212462653,mp-1112789,Cs2KBiBr6,3.5292000000000003,-0.1594527170192308,-3.688652717019231,0.3029364954434217,0.44126350455657803,True,0.7441999999999998
mp-989583,Rb2LiInCl6,2.8293,-0.6118174291924552,-3.441117429192455,mp-1111727,Rb2LaAgCl6,3.573000730854086,-0.2801643248948831,-3.853165055748969,0.3316531042975721,0.41204762655651406,True,0.7437007308540862
mp-1113924,Rb2TlSbF6,2.80706324840277,-1.0785696714875972,-3.885632919890368,mp-569348,TlGaBr4,3.5506,-0.6910804671459321,-4.241680467145932,0.3874892043416651,0.3560475472555642,True,0.7435367515972293
mp-1111998,K2ScAgBr6,2.835901910286677,-0.6118218000301487,-3.4477237103168257,mp-1112000,Cs2ScTlCl6,3.579203867091389,-0.2693350758309689,-3.8485389429223584,0.34248672419917986,0.40081523260553276,True,0.7433019568047126
mp-1111998,K2ScAgBr6,2.835901910286677,-0.6118218000301487,-3.4477237103168257,mp-1112759,Cs2KInCl6,3.5784317090266127,-0.1866663657377101,-3.765098074764323,0.4251554342924386,0.3173743644474971,True,0.7425297987399357
mp-1113067,Cs2ScInCl6,2.804305520872291,-0.6762684171670632,-3.4805739380393543,mp-1228342,Ba2ScO3F,3.5461,-0.317536727083473,-3.863636727083473,0.3587316900835902,0.3830627890441187,True,0.7417944791277089
mp-998603,RbPbBr3,2.8211,-0.7722250517042355,-3.593325051704236,mp-27831,Rb2ZrCl6,3.5613,-0.3461837234099274,-3.907483723409928,0.4260413282943081,0.3141586717056919,True,0.7402
mp-555403,K3WF6,2.8445,-0.929359463606298,-3.773859463606298,mp-560449,K3Ni2F7,3.5833000000000004,-0.5809479437636904,-4.164247943763691,0.34841151984260754,0.3903884801573927,True,0.7388000000000002
mp-1113979,Rb2LiGdCl6,2.8472,-0.5245202119484889,-3.371720211948489,mp-1112132,Cs2RbBiBr6,3.5846,-0.1317527170192309,-3.716352717019231,0.39276749492925794,0.3446325050707424,True,0.7374000000000003
mp-1111998,K2ScAgBr6,2.835901910286677,-0.6118218000301487,-3.4477237103168257,mp-1111727,Rb2LaAgCl6,3.573000730854086,-0.2801643248948831,-3.853165055748969,0.33165747513526567,0.4054413454321435,True,0.7370988205674092
mp-27149,CsCrF4,2.8606,-1.1972112121878054,-4.057811212187805,mp-1205672,KTl2CrF6,3.5975,-0.8027572479007181,-4.400257247900718,0.39445396428708723,0.34244603571291243,True,0.7368999999999997
mp-27193,RbIO3,2.8369,-1.034417920222623,-3.871317920222623,mp-1209567,Rb2SbF5,3.5733999999999995,-0.681325347674572,-4.2547253476745714,0.35309257254805093,0.38340742745194856,True,0.7364999999999995
mp-1220707,NaZn2CdF7,2.8046,-1.3464680556595714,-4.151068055659572,mp-1188623,NaPb2IO6,3.5409999999999995,-0.9505887592199858,-4.491588759219985,0.39587929643958564,0.3405207035604132,True,0.7363999999999988
mp-1120726,Rb3Bi2I9,2.8069,-0.5839777934702264,-3.390877793470226,mp-989529,KRb2InCl6,3.5425000000000004,-0.2194160303774524,-3.761916030377453,0.364561763092774,0.3710382369072267,True,0.7356000000000007
