mp_id,formula,band_gap_eV,is_direct_gap,cbm_vs_vacuum_eV,vbm_vs_vacuum_eV,offset_estimation_method,dielectric_electronic,dielectric_ionic,dielectric_total,refractive_index,energy_above_hull_eV_per_atom,is_stable
mp-1214722,Ba2Fe2ClF7,3.653,False,-0.845763204021819,-4.498763204021819,electronegativity_approx,,,,,0.0480369300000012,False
mp-1214900,BC12ClF10,2.7677,False,-1.6847686650422153,-4.452468665042216,electronegativity_approx,,,,,0.4196476258984365,False
mp-1216585,Tl4Br3Cl,2.005,False,-1.2052646955641442,-3.210264695564144,electronegativity_approx,,,,,0.2544084574999985,False
mp-1216990,U5ClO12,0.6935000000000002,False,-2.3098203650802183,-3.0033203650802185,electronegativity_approx,,,,,0.01862680255556448,False
mp-1218378,Sr4BrN2Cl,1.8938000000000001,True,-0.7550725359010106,-2.6488725359010106,electronegativity_approx,,,,,0.04930728000000073,False
mp-1218383,Sr4BrN2Cl,1.8982,False,-0.7528725359010107,-2.6510725359010108,electronegativity_approx,,,,,0.04595563500000033,False
mp-1218648,Sr6Al7ClO16,3.6133000000000006,False,-0.41474009434680514,-4.028040094346806,electronegativity_approx,,,,,0.0,True
mp-1219229,Sm3SiS6Cl,1.852885749512195,False,-1.1336334857999661,-2.9865192353121612,electronegativity_approx,,,,,0.028041367954545926,False
mp-1219236,Re3Br8Cl,1.0647,False,-2.131584022564884,-3.196284022564884,electronegativity_approx,,,,,0.14943988187500068,False
mp-1219504,Sb3TeClO6,2.693491003962304,False,-1.4873258709243058,-4.1808168748866095,electronegativity_approx,,,,,0.0385301876262627,False
mp-1219643,Rb3Br2Cl,4.3424,True,0.5961826448655441,-3.7462173551344558,electronegativity_approx,,,,,0.18355083333333377,False
mp-1220190,Pb12Br7ClO8,2.710307529227103,False,-1.4400248119406653,-4.150332341167768,electronegativity_approx,,,,,0.0901906148214282,False
mp-1220195,NdBr2Cl,3.4716,True,-0.6344482741110531,-4.106048274111053,electronegativity_approx,,,,,0.28202640166666537,False
mp-1221141,Na5Br4Cl,3.9335218815479758,True,0.2967209650910616,-3.636800916456914,electronegativity_approx,,,,,0.2202530170000001,False
mp-1221385,Na2BrCl,4.223,True,0.4250006711480867,-3.797999328851913,electronegativity_approx,,,,,0.13926464749999967,False
